,genes_x
0,ABCB7
1,ABCD1
2,ACE2
3,ACOT9
4,ACSL4
5,ACTRT1
6,ADGRG2
7,ADGRG4
8,AFF2
9,AGTR2
10,AIFM1
11,AKAP14
12,AKAP4
13,ALAS2
14,ALG13
15,AMELX
16,AMELX;ARHGAP6
17,AMER1
18,AMMECR1
19,AMOT
20,ANOS1
21,AP1S2
22,APEX2
23,APLN
24,APOO
25,APOOL
26,AR
27,ARAF
28,ARHGAP36
29,ARHGAP4
30,ARHGAP6
31,ARHGEF6
32,ARHGEF9
33,ARL13A
34,ARMCX1
35,ARMCX2
36,ARMCX3
37,ARMCX4
38,ARMCX5
39,ARMCX5-GPRASP2;BHLHB9
40,ARMCX5-GPRASP2;GPRASP2
41,ARMCX6
42,ARR3
43,ARSD
44,ARSD-AS1
45,ARSE
46,ARSF
47,ARSH
48,ARX
49,ASB11
50,ASB12
51,ASB9
52,ATG4A
53,ATP11C
54,ATP1B4
55,ATP2B3
56,ATP6AP1
57,ATP6AP2
58,ATP7A
59,ATRX
60,ATXN3L
61,AVPR2
62,AWAT1
63,AWAT2
64,BCAP31
65,BCLAF3
66,BCOR
67,BCORL1
68,BEND2
69,BEX1
70,BEX2
71,BEX3
72,BEX4
73,BEX5
74,BGN
75,BMP15
76,BMX
77,BRCC3
78,BRS3
79,BRWD3
80,BTK
81,BTK;RPL36A;RPL36A-HNRNPH2
82,C1GALT1C1
83,CA5B
84,CA5BP1
85,CA5BP1-CA5B
86,CA5BP1;CA5BP1-CA5B
87,CACNA1F
88,CAPN6
89,CASK
90,CBLL2
91,CCDC120
92,CCDC120;CCDC120
93,CCDC160
94,CCDC22
95,CCNB3
96,CCNQ
97,CCNQ;CCNQ
98,CD40LG
99,CD99L2
100,CDK16
101,CDKL5
102,CDKL5;RS1
103,CDR1
104,CDX4
105,CENPI
106,CETN2
107,CFAP47
108,CFP
109,CHIC1
110,CHM
111,CHRDL1
112,CHST7
113,CITED1
114,CLCN4
115,CLCN5
116,CLCN5;AKAP4
117,CLDN2
118,CLDN2;RIPPLY1
119,CLDN34
120,CLIC2
121,CLTRN
122,CMC4
123,CNGA2
124,CNKSR2
125,COL4A5
126,COL4A6
127,COX7B
128,CPXCR1
129,CSAG1
130,CSTF2
131,CT45A10
132,CT45A10;CT45A7
133,CT45A1;CT45A10
134,CT45A1;CT45A2;CT45A5;CT45A6;CT45A7;CT45A8;CT45A9
135,CT45A3;CT45A6;CT45A7
136,CT45A7
137,CT47A6
138,CT47B1
139,CT55
140,CT83
141,CTAG2
142,CTPS2
143,CUL4B
144,CXCR3
145,CXorf21
146,CXorf38
147,CXorf38;MED14
148,CXorf40A
149,CXorf40A;CXorf40B
150,CXorf40B
151,CXorf56
152,CXorf58
153,CXorf65
154,CXorf66
155,CXXC1P1;ZNF81
156,CYBB
157,CYBB;DYNLT3
158,CYLC1
159,CYLC1;RPS6KA6
160,CYSLTR1
161,DACH2
162,DCAF12L1
163,DCAF12L2
164,DCAF8L1
165,DCAF8L2
166,DCX
167,DDX3X
168,DDX53
169,DENND10P1
170,DENND10P1;ENOX2
171,DGAT2L6
172,DGKK
173,DIAPH2
174,DIPK2B
175,DKC1
176,DLG3
177,DLG3-AS1
178,DMD
179,DMD;DMD
180,DMRTC1;DMRTC1B
181,DNASE1L1
182,DOCK11
183,DRP2
184,DUSP21
185,DUSP9
186,DYNLT3
187,EBP
188,EDA
189,EDA2R
190,EFHC2
191,EFNB1
192,EGFL6
193,EIF1AX
194,EIF2S3
195,ELF4
196,ELK1
197,EMD
198,ENOX2
199,ERAS
200,ERCC6L
201,ESX1
202,EZHIP
203,F8
204,F8A1
205,F8A1;F8A2;F8A3
206,F9
207,FAAH2
208,FAM104B
209,FAM120C
210,FAM122B
211,FAM122C
212,FAM133A
213,FAM155B
214,FAM199X
215,FAM239A;FAM239B
216,FAM3A
217,FAM47A
218,FAM47B
219,FAM47C
220,FAM50A
221,FAM9A
222,FAM9B
223,FAM9B;TBL1X
224,FAM9C
225,FANCB
226,FATE1
227,FGD1
228,FGD1;TSR2
229,FGF13
230,FGF13;SRD5A1P1
231,FGF16
232,FHL1
233,FLJ44635
234,FLNA
235,FMR1
236,FMR1NB
237,FOXO4
238,FOXP3
239,FOXR2
240,FRMD7
241,FRMD8P1
242,FRMPD3
243,FRMPD3-AS1
244,FRMPD4
245,FTHL17
246,FTHL17;DMD
247,FTSJ1
248,FTX
249,FUNDC1
250,FUNDC2
251,G6PD
252,G6PD;IKBKG
253,GAB3
254,GABRA3
255,GABRE
256,GABRQ
257,GAGE1
258,GAGE10
259,GAGE12B;GAGE12C;GAGE12D;GAGE12E;GAGE12F;GAGE12G;GAGE12I;GAGE6
260,GAGE12C;GAGE12D;GAGE12E;GAGE12F;GAGE12G;GAGE12H
261,GAGE12C;GAGE12D;GAGE12E;GAGE12H
262,GAGE12G;GAGE12I;GAGE12J;GAGE13;GAGE2A;GAGE2B;GAGE2C;GAGE4;GAGE5;GAGE7;GAGE8
263,GAGE12G;GAGE12I;GAGE4;GAGE5;GAGE7
264,GAGE12G;GAGE12J;GAGE13
265,GAGE12G;GAGE12J;GAGE13;GAGE2A;GAGE2C;GAGE2D;GAGE2E;GAGE8
